id,tenses.0,tenses.1,tenses.2,tenses.3,sentences.0,sentences.1
1781,poetry,,,,I used to go to poetry readings but there aren't any good local poets around these parts anymore.,
1782,poison,poisoned,,,Poirot then discovered that the cat had actually been poisoned.,
1783,police,,,,Don't even think about calling the police. The kidnappers demanded it.,
1784,policeman,,,,"As a policeman, you get yourself into all kinds of violent situations, don't you?",
1785,policy,,,,It's the policy of this company to treat everyone equally.,
1786,polite,,,,He was so polite that I knew you must have taught him some manners.,
1787,political,,,,We cannot discuss our political opinions here because it's a non-partisan organization.,
1788,politician,,,,"The speaker says he's a businessman and not a politician, but his rhetoric sure sounds like a politician's.",
1789,politics,,,,"They say that politics, along with religion, is one of those subjects that you shouldn't discuss in polite company.",
1790,poll,,,,Let's take a poll to see how many people want to leave this place and how many want to stay.,
1791,polygamist,,,,If you have one wife here and one wife back in your country then you are a polygamist.,
1792,popular,,,,That song is very popular with the kids these days.,
1793,porch,,,,My great-grandparents used to sit on their front porch every evening and talk to whatever neighbors would walk by on their evening strolls.,
1794,porter,,,,Could you please ask the porter to carry my bags into the next room?,
1795,portion,,,,I'll take the smaller portion of this cake and you take the larger.,
1796,position,,,,Have you ever been in a position to talk to the managing editor about this story?,
1797,possession,possess,,,After three days you may take possession of your new condo.,
1798,possibility,,,,What is the possibility of my getting a good hot meal around this place?,
1799,possible,,,,It is not possible for both things to be true.,
1800,post,,,,The telephone posts on my street are rotting something awful.,
1801,postage,,,,What's the postage due on that package?,
1802,postal,,,,"To go postal' is an idiom that means to go somewhat crazy, especially if it involves kidnapping or harming postal workers.",
1803,posterity,,,,"For posterity's sake, let's not argue tonight.",
1804,postman,,,,Do you ever speak to your postman when he delivers letters?,
1805,potato,potatoes,,,"One potato, two potato, three potato, four, five potato, six potato, seven potato, more!",
1806,potentate,,,,Would you say there was a potentate of that period?,
1807,pottery,,,,I want to go to a pottery class so I can learn how to make pottery.,
1808,poultry,,,,Poultry is chicken but veal is calf.,
1809,pour,,,,May I pour you a glass of wine?,
1810,poverty,,,,I have been studying the cause of poverty and I now know it's not what most people think.,
1811,powder,,,,Let's put some baby powder on the baby to make him soft and dry.,
1812,power,,,,You can buy power with money and you can buy money with power.,
1813,powerful,,,,She was a powerful matriarch in her time.,
1814,practical,,,,Is there anything whatsoever practical about your plan?,
1815,practically,,,,"Practically every time I walk out of the door, I've forgotten something.",
1816,practice,,,,"Practice makes perfect' is what they say, but I don't believe it.",
1817,praise,praised,,,He praised the community work that our group has been doing.,
1818,prayer,,,,During the church service they said 5 prayers.,
1819,preach,,,,Do you practice what you preach or do you just give advice to others?,
1820,preamble,,,,Is there a preamble to that statute?,
1821,precede,preceding,preceded,,What precedes the text of your paper? Do you have an abstract giving a summary?,
1822,precious,,,,We have precious little time left so can we please spend it efficiently?,
1823,prefer,preferred,,,I would prefer not to talk about my accident at this time.,
1824,preference,,,,What is your preference: steak or fish?,
1825,premise,,,,"One must start with valid premises, in addition to using correct logic, to discover the truth.",
1826,preparation,,,,Must we do a lot of preparation to get such an event planned?,
1827,prepare,preparing,prepared,,How would you go about preparing to speak to a hostile group like that?,
1828,prescribe,,,,The doctor would probably prescribe some kind of medicine for your cold.,
1829,prescription,,,,Where do I go to get this prescription filled?,
1830,presence,,,,"In the presence of these witnesses, I solemnly declare that I will uphold the responsibilities of my new office.",
1831,present,,,,We would like to present you with an alternative to your present situation. My family gives lots of presents at Christmas.,
1832,preserve,,,,Lori wants to preserve the look of the old building so has started a fund to which people can donate money.,
1833,preside,presiding,presided,,Which judge was presiding over the proceedings?,
1834,president,,,,Manny was elected president of the newly formed chapter.,
1835,presume,,,,"In America, we presume that somebody is innocent until they have been proved guilty.",
1836,pretend,,,,"I cannot pretend that I like you. In fact, I hate you.",
1837,pretty,,,,There was a very pretty woman standing next to him but I don't know her name.,
1838,prevail,prevailing,prevailed,,"Given the prevailing circumstances, I'd say we should postpone our get-together.",
1839,previous,,,,"In the previous article that I wrote, I never mentioned the crumbling of the wall.",
1840,prey,,,,"Suddenly, the tiger leapt to jump at her prey.",
1841,price,,,,"That's the price you must pay for being a big, important person.",
1842,priest,,,,A high priest should never make remarks like that. Are you sure you quoted the right person?,
1843,primary,,,,What is our primary business? You want to know what our primary business is? I'll tell you what is our primary business. Our primary business is to sell primary school books.,
1844,prime,,,,"Yes, 13 is a prime number, but not 169 nor 2197.",
1845,prince,,,,The princess kissed the frog and she turned into a frog. Or was it that he turned into a prince? I forget.,
1846,princess,,,,The princess was the most beautiful woman in the whole kingdom. Or so she thought.,
1847,principal,,,,I was recently named principal of that high school.,
1848,principle,,,,What is the principal principle you wish to relay?,
1849,prior,,,,"If the prior movie shown had been a comedy, do you think you would still think this way?",
1850,prisoner,,,,I feel like a prisoner in my own home.,
1851,private,,,,I often get private mail and no one reads it in my law office.,
1852,privilege,,,,We must rid the country of government-given privileges to acquire justice for all.,
1853,probable,,,,Would you say that it's probable that you'll go with me tomorrow?,
1854,probably,,,,I can probably show up by 7:00 but I know I can't get there before 6:30.,
1855,problem,,,,What is the problem with your leg? Did you get hurt?,
1856,proceed,proceeding,,,"If we all quit talking and proceed to finish our work, we'll be done in no time.",
1857,process,,,,What would you say is the process one would follow to make mashed potatoes?,
1858,procession,,,,The procession in her wedding was the largest I've ever seen.,
1859,proclaim,proclaimed,,,I hereby proclaim that you are lord of the land.,
1860,procure,procuring,procured,,"Finally, we procured the secret files, but then we didn't know what to do next.",
1861,produce,produced,producing,,Did you know that one produces saliva all the time? No.,
1862,product,,,,Do you manufacture paper products or paper doll products?,
1863,profession,,,,What was your profession before you got into the home repair service?,
1864,professor,,,,I like 3 of my professors and don't like 2 of them. But I must say that they all teach mediocrely.,
1865,profit,,,,How much profit will we be able to split amongst us?,
1866,program,,,,Americans dropped the 'me' of 'programme' to get 'program.',
1867,progress,progressive,progressing,progressed,Let us now progress to the next week of lessons. My mother is very progressive but my father is very conservative.,
1868,prohibit,prohibited,prohibitive,,Swimming in this part of the lake is strictly prohibited.,
1869,prolong,prolonged,,,"The doctors prolonged her life as long as possible but by April, it was hopeless.",
1870,prominent,prominently,,,Wouldn't you say that Mr. Carrigan is a very prominent citizen in this area?,
1871,promise,,,,I solemnly promise never to speak of your past again.,
1872,promote,promoted,promoting,,"My company promotes a new brand of jeans, which should overtake the leading contenders.",
1873,prompt,prompted,,,What ever prompted you to give me a gift like that?,
1874,pronounce,pronouncing,pronounced,,Could you please pronounce your last name for me very slowly?,
1875,pronunciation,,,,"Pronunciation is not my strong point, but spelling is.",
1876,proof,,,,We have proof that the crime was committed at least 2 days before Ms. Lacey came to town.,
1877,proper,properly,,,What is the proper way to pronounce that word?,
1878,property,,,,I own property in Connecticut so I try to get up there once or twice a year.,
1879,prophecy,prophecies,,,The prophet stated three important prophecies for the future.,
1880,prophesy,prophesied,prophesying,,I doubt that's true; you can't prophesy what the future holds.,
1881,prophet,,,,The writings of the ancient prophet were discovered in a cave.,
